Canzone,Artista,Anno ultimo rilascio,Durata (min),Popolarità
Rose viola,Ghemon,2019,"3,221316667",41
Solo una canzone,Ex-Otago,2019,"3,788033333",44
Dov'è l'Italia,Motta,2019,"2,973083333",27
Aspetto che torni,Francesco Renga,2019,"3,2306",26
L'ultimo ostacolo,Paola Turci,2019,"3,4461",26
L'amore è una dittatura,The Zen Circus,2019,"3,84",33
Senza farlo apposta,Shade,2019,"3,585933333",48
Mi farò trovare pronto,Nek,2019,"3,023016667",24
I ragazzi stanno bene,Negrita,2019,"4,085766667",31
Un po' come la vita,Patty Pravo,2019,"3,4091",23
Le nostre anime di notte,Anna Tatangelo,2019,"3,178433333",22
Parole nuove,Matteo Branciamore,2010,"3,2691",39
Un'altra luce,Nino D'Angelo,2019,"4,081666667",26
Viceversa,Francesco Gabbani,2020,"3,587766667",62
Ringo Starr,Pinguini Tattici Nucleari,2020,"3,05555",65
Dov'è,Le Vibrazioni,2020,"3,062183333",54
Gigante,Piero Pelù,2020,"3,677333333",39
Ho amato tutto,Tosca,2020,"3,7411",33
Andromeda,Elodie,2020,"3,373333333",51
Me ne frego,Achille Lauro,2020,"3,690616667",51
Finalmente io,Irene Grandi,2020,"4,093333333",34
Eden,Rancore,2022,"3,521616667",41
Carioca,Izi,2019,"3,340666667",43
Tikibombom,Levante,2020,"3,38555",50
Rosso di rabbia,Anastasio,2020,"3,2206",33
Il sole ad est,Alberto Urso,2020,"3,418666667",29
Il confronto,Marco Masini,2020,"3,310666667",39
Voglio parlarti adesso,Paolo Jannacci,2020,"3,716883333",20
Niente (Resilienza 74),Rita Pavone,2020,"3,285333333",24
Nell'estasi o nel fango,Michele Zarrillo,2020,"3,75545",26
Baciami adesso,Enrico Nigiotti,2020,"3,050216667",52
Come mia madre,Giordana Angi,2020,"2,891333333",25
Musica (e il resto scompare),Elettra Lamborghini,2020,"3,243433333",48
No grazie,Pacman XII,2018,"3,774583333",6
Lo sappiamo entrambi,RIKI,2020,"3,29365",29
Sincero,Tony Boy,2019,"2,914666667",35
Chiamami per nome,Francesca Michielin,2021,"3,7111",55
Un milione di cose da dirti,Ermal Meta,2021,"3,532883333",47
Musica leggerissima,Colapesce,2021,"3,945333333",63
La genesi del tuo colore,Irama,2021,"3,8164",57
Mai dire mai (la locura),Willie Peyote,2021,"3,477733333",51
Dieci,Annalisa,2021,"3,3145",54
Voce,Madame,2021,"3,5235",56
Quando ti sei innamorato,Orietta Berti,2021,"3,666216667",29
Potevi fare di più,Arisa,2021,"4,071766667",42
Amare,Ultimo,2023,"3,303933333",53
Bianca luce nera,EXTRALISCIO,2021,"3,399166667",25
Combat pop,Gabriele Felici,2021,"3,908333333",0
Glicine,Noemi,2021,"3,6184",46
Ti piaci così,Malika Ayane,2021,"3,614",32
Santa Marinella,Fulminacci,2021,"3,684216667",52
Il farmacista,Max Gazzè,2021,"4,193883333",32
Parlami,Fasma,2021,"2,819683333",60
Cuore amaro,Gaia,2021,"2,552616667",37
Fiamme negli occhi,Coma_Cose,2021,"3,43755",58
Momento perfetto,Ghemon,2021,"3,192616667",35
Quando trovo te,Francesco Renga,2021,"3,82685",32
Arnica,Gio Evan,2021,"3,067183333",38
E invece sì,Bugo,2021,"3,868216667",26
Ora,Sfera Ebbasta,2023,"3,339283333",62
Torno a te,Random,2021,"3,448",31
O forse sei tu,Elisa,2022,"3,89295",59
Apri tutte le porte,Gianni Morandi,2022,"3,722433333",44
Ovunque sarai,Irama,2022,"3,340466667",58
Farfalle,sangiovanni,2022,"2,733333333",58
Ogni volta è così,Emma,2022,"3,447616667",48
Ciao ciao,La rappresentante di lista,2022,"3,07185",57
Lettera di là dal mare,Massimo Ranieri,2022,"3,635333333",35
Dove si balla,Dargen D'Amico,2022,"3,301366667",60
Inverno dei fiori,Michele Bravi,2022,"2,937516667",49
Virale,Matteo Romano,2022,"3,076",53
Sei tu,Andrew Underberg,2024,"1,0042",61
Perfetta così,Aka 7even,2022,"2,829166667",48
Domenica,Coez,2019,"3,3591",62
Ti amo non lo so dire,Noemi,2022,"3,62055",45
Chimica,Donatella Rettore,2022,"3,021866667",32
Insuperabile,Rkomi,2022,"2,87435",60
"Tuo padre, mia madre, Lucia",Giovanni Truppi,2022,"3,797766667",28
Abbi cura di te,Highsnob,2022,"3,32515",47
Ora e qui,Gruppo Palude,2021,"3,723966667",0
Tantissimo,Le Vibrazioni,2022,"3,124383333",43
Miele,Gigi D'Alessio,2002,"3,968883333",49
Duecentomila ore,Ana Mena,2022,"3,003966667",49
Sesso occasionale,Tananai,2022,"3,265383333",60
Cenere,Lazza,2022,"3,47205",70
Supereroi,Mr.Rain,2023,"3,25",70
Alba,Vasco Rossi,1984,"4,092216667",56
Tango,Tananai,2022,"3,484366667",68
Parole dette male,Giorgia,2023,"3,107",47
Il bene nel male,Madame,2023,"3,552383333",62
Made in Italy,Rosa Chemical,2023,"2,968",62
Due,Marco Mengoni,2023,"3,760866667",67
Splash,MV Killa,2020,"2,88",56
Lasciami,Modà,2023,"3,64555",52
Quando ti manca il fiato,Gianluca Grignani,2023,"4,21925",45
L'addio,Giuni Russo,1981,"4,847333333",30
Mare di guai,ARIETE,2023,"3,4081",55
Se poi domani,LDA,2023,"3,48155",50
Un bel viaggio,Articolo 31,2023,"3,639916667",54
Furore,Paola & Chiara,2023,"2,946966667",55
Terzo cuore,Leo Gassmann,2023,"3,631266667",49
Duemilaminuti,Mara Sattei,2023,"3,749883333",62
Non mi va,Colla Zio,2023,"2,445483333",46
Lettera 22,Cugini Di Campagna,2023,"3,596",45
Mostro,Mostro,2017,"1,183333333",60
Vivo,Andrea Bocelli,1995,"4,4264",54
Polvere,Tedua,2020,"4,216516667",63
Sali (canto dell'anima),Anna Oxa,2023,"4,215183333",42
Stupido,Massimo Pericolo,2021,"3,12385",67
Egoista,Shari,2023,"2,887966667",45
Cause perse,Sethu,2023,"2,350866667",44
